symbol,n_bars,last_close,med_dollar_vol,pass
MU,32,932.97,33564545894.75,True
SPY,32,765.91,33086275826.939995,True
NVDA,32,213.05,25218637008.89,True
QQQ,32,710.72,24109668338.91,True
SNDK,32,1480.77,22502971774.35,True
AAPL,32,309.9,14514868110.4,True
AMD,32,479.18,12491300230.689999,True
TSLA,32,350.25,11879832789.419998,True
MSFT,32,491.71,11626500256.310001,True
INTC,32,87.48,10325935288.04,True
SPCX,32,137.95,10175772947.369999,True
GOOGL,32,346.96,9175352066.985,True
AMZN,32,261.06,8973740928.07,True
META,32,570.05,8866106415.564999,True
SOXL,32,115.67,8775782195.970001,True
AVGO,32,356.74,7048398481.61,True
GOOG,32,343.34,5837564464.6,True
IWM,32,299.23,5593562185.215,True
SKHY,32,159.53,5025937264.635,True
PLTR,32,172.73,4826758971.51,True
TSM,32,417.41,4768190533.875,True
MRVL,32,240.38,4749425461.5,True
NBIS,32,221.97,4673809497.15,True
SMH,32,555.82,4568633777.295,True
SOXX,32,514.06,4491212868.155001,True
TQQQ,32,70.27,4294431747.71,True
STX,32,821.67,4243959219.04,True
WDC,32,450.75,4083906573.855,True
AMAT,32,480.04,3993621135.089999,True
ORCL,32,144.76,3869803707.13,True
VOO,32,704.02,3764324763.2250004,True
LITE,32,885.565,3535268103.615,True
EWY,32,180.15,3346457990.34,True
DRAM,32,56.24,3315408842.075,True
IVV,32,769.62,3237652479.9750004,True
GLD,32,428.07,3153903275.04,True
LQD,32,106.86,3046445913.21,True
BE,32,217.45,3039566163.295,True
LLY,32,1233.66,3008031408.43,True
LRCX,32,314.66,2939149200.745,True
SOXS,32,48.42,2914580246.16,True
V,32,384.14,2546304374.5299997,True
NFLX,32,82.23,2545070005.08,True
ASML,32,1744.16,2523089338.26,True
WMT,32,105.38,2454305221.055,True
CAT,32,811.29,2400020168.88,True
JPM,32,356.69,2361913931.55,True
DELL,32,451.5,2357236462.9799995,True
GEV,32,926.73,2352655129.4849997,True
HYG,32,79.92,2314916691.675,True
TLT,32,83.47,2249558781.5600004,True
APP,32,310.54,2207719060.91,True
CRM,32,205.69,2204740287.855,True
NOW,32,127.0,2194700848.77,True
XOM,32,160.64,2189144449.4,True
