bin,n,predicted,observed,gap,mapping
0.0-0.1,273,0.08135398563023533,0.11721611721611722,0.03586213158588189,raw
0.1-0.2,4272,0.16240342485195094,0.21722846441947566,0.054825039567524714,raw
0.2-0.3,8020,0.24868238164885567,0.2683291770573566,0.019646795408500922,raw
0.3-0.4,4017,0.33955741965741537,0.2770724421209858,-0.062484977536429565,raw
0.4-0.5,1039,0.44196332349465306,0.2502406159769009,-0.19172270751775217,raw
0.5-0.6,466,0.5448230989476353,0.2553648068669528,-0.28945829208068247,raw
0.6-0.7,286,0.6491193109446618,0.28321678321678323,-0.36590252772787857,raw
0.7-0.8,248,0.7480360193657125,0.1975806451612903,-0.5504553742044223,raw
0.8-0.9,214,0.8457967272778225,0.19158878504672897,-0.6542079422310936,raw
0.9-1.0,37,0.9189459981436914,0.35135135135135137,-0.5675946467923401,raw
0.1-0.2,501,0.1841776755113563,0.13572854291417166,-0.04844913259718464,Platt
0.2-0.3,13239,0.26016836943880906,0.2552307576100914,-0.0049376118287176585,Platt
0.3-0.4,4238,0.3281809814002814,0.26474752241623406,-0.06343345898404734,Platt
0.4-0.5,588,0.44239967310453954,0.2568027210884354,-0.18559695201610416,Platt
0.5-0.6,270,0.5404311843871361,0.2037037037037037,-0.3367274806834324,Platt
0.6-0.7,36,0.6233464531517855,0.3611111111111111,-0.2622353420406744,Platt
0.0-0.1,58,0.05799373040752351,0.10344827586206896,0.045454545454545456,isotonic
0.1-0.2,1026,0.1649083393305321,0.16764132553606237,0.00273298620553028,isotonic
0.2-0.3,11037,0.26808104446559683,0.2552324001087252,-0.012848644356871608,isotonic
0.3-0.4,6298,0.3150069594422355,0.2700857415052398,-0.044921217936995717,isotonic
0.4-0.5,200,0.4060015043571319,0.19,-0.2160015043571319,isotonic
0.5-0.6,197,0.5451316154269281,0.20304568527918782,-0.3420859301477403,isotonic
0.6-0.7,20,0.6676819931192892,0.05,-0.6176819931192892,isotonic
0.7-0.8,2,0.7969142693814184,0.5,-0.2969142693814184,isotonic
0.8-0.9,11,0.8535943452779571,0.18181818181818182,-0.6717761634597752,isotonic
0.9-1.0,23,1.0,0.43478260869565216,-0.5652173913043479,isotonic
