feature,family,auc,alone,stable,in_company,missing_pct
f_btc_mom_168,f_btc_,0.49830877670718743,0.0016912232928125714,0.8,0.018097914371856844,0.0
f_btc_mom_24,f_btc_,0.5367391879398394,0.036739187939839435,0.8,0.012284891859813962,0.0
f_btc_mom_6,f_btc_,0.5358407207220264,0.035840720722026376,1.0,0.007249763006624693,0.0
f_ta_aroon_osc,f_ta_,0.5190027645798416,0.019002764579841624,0.8,0.005443216868179598,0.0
f_ta_pta_cksp_long_dist,f_ta_pta_,0.5615565981601437,0.061556598160143694,1.0,0.005387024004491522,0.0
f_ta_pta_ppo_hist,f_ta_pta_,0.5567267390949768,0.05672673909497683,1.0,0.0049660293532857586,0.0
f_hr_atr_pct,f_hr_,0.47970116637221544,0.020298833627784563,0.6,0.0048404700372527,0.0
f_btc_corr_168,f_btc_,0.5111589206098629,0.011158920609862899,0.6,0.0042192839184032604,0.0
f_btc_beta_168,f_btc_,0.5160637361663765,0.016063736166376463,1.0,0.004069282666869151,0.0
f_ta_pta_trix,f_ta_pta_,0.4692074803849855,0.030792519615014502,1.0,0.003713941631977205,0.0
f_wc_rv_ratio,f_wc_,0.5039098705336861,0.003909870533686077,0.6,0.003291555028859014,0.0
f_hr_rv_long,f_hr_,0.4913088297823311,0.008691170217668909,0.6,0.0032506066109976167,0.0
f_wc_mom_360,f_wc_,0.5051499098989941,0.0051499098989941094,0.6,0.003163689427643293,0.0
f_w1_ema_fast_slow,f_w1_,0.47462977617081425,0.025370223829185745,0.8,0.0031488047566054084,0.0
f_w1_mom_10,f_w1_,0.4874187401289944,0.012581259871005612,0.8,0.003098404011234124,0.0
f_w1_rsi,f_w1_,0.4767332302977435,0.023266769702256496,0.8,0.0030949870315867267,0.0
f_wc_atr_pct,f_wc_,0.49685791726555417,0.003142082734445828,0.4,0.0029143215057682997,0.0
f_hr_rv_ratio,f_hr_,0.5038370726317148,0.003837072631714844,0.4,0.002672312192205456,0.0
f_wc_rv_long,f_wc_,0.48907649317772256,0.01092350682227744,0.6,0.002608649126906573,0.0
f_d1_atr_pct,f_d1_,0.49998328828823896,1.671171176104158e-05,0.4,0.0021074796621194936,0.0
f_d1_mom_10,f_d1_,0.48806711773467293,0.011932882265327072,0.8,0.0020483753491271905,0.0
f_ta_adx,f_ta_,0.489309504586108,0.010690495413891998,0.4,0.002006557537529194,0.0
f_wc_ema_mid_slow,f_wc_,0.4750530340546196,0.024946965945380373,0.8,0.001808800628282814,0.0
f_hr_rv_short,f_hr_,0.4976352629175259,0.0023647370824740888,0.4,0.0017532878311453393,0.0
f_wc_bb_pos,f_wc_,0.5320096120612559,0.032009612061255854,1.0,0.0017285264493612507,0.0
f_btc_rel_mom_168,f_btc_,0.49640532226316997,0.003594677736830032,0.6,0.0017087188864814279,0.0
f_flow_imb_168,f_flow_,0.49300549394739124,0.006994506052608762,0.4,0.0015644150831179704,0.0
f_flow_imb_24,f_flow_,0.5032816516018601,0.003281651601860114,0.6,0.001488847725995071,0.0
f_ta_willr,f_ta_,0.5592663509778947,0.05926635097789468,1.0,0.001450755471070042,0.0
f_st_dist_2,f_st_,0.5383600964349884,0.03836009643498839,1.0,0.001428929141392199,0.0
f_tl_sar_dist,f_tl_,0.5519983272724438,0.0519983272724438,1.0,0.0013871145631215998,0.0
f_tl_ultosc,f_tl_,0.5464827100333052,0.046482710033305175,1.0,0.0013773060629663214,0.0
f_st_dist_3,f_st_,0.5499606996271995,0.04996069962719951,1.0,0.0013379693580524155,0.0
f_mst_dist,f_mst_,0.524386832183748,0.024386832183748042,0.8,0.001328848598786292,0.0
f_ta_mfi,f_ta_,0.5548340759833341,0.05483407598333412,1.0,0.0012982296151053396,0.0
f_hr_bb_pos,f_hr_,0.5587259706500751,0.05872597065007512,1.0,0.001276243883942929,0.0
f_w1_atr_pct,f_w1_,0.5085068957857042,0.008506895785704183,0.8,0.0012591288702979292,0.0
f_wc_vol_ratio,f_wc_,0.5242797761606429,0.02427977616064292,0.8,0.0012204899115102613,0.0
f_hr_mom_6,f_hr_,0.5454672140126026,0.045467214012602564,1.0,0.0012193458809116597,0.0
f_hr_mom_168,f_hr_,0.49710245299029066,0.0028975470097093448,0.8,0.001214561325756397,0.0
f_wc_mom_120,f_wc_,0.49881130664658796,0.0011886933534120403,0.6,0.0011915216788095234,0.0
f_ta_cmf,f_ta_,0.5451588828498866,0.04515888284988656,1.0,0.0011740855223910385,0.0
f_wc_ema_fast_mid,f_wc_,0.4800077118955527,0.01999228810444731,0.8,0.001173290229449786,0.0
f_tl_ht_dcphase,f_tl_,0.5021072013864207,0.0021072013864207317,0.6,0.0011336143641733631,0.0
f_hr_vol_ratio,f_hr_,0.5333053598232709,0.033305359823270875,0.8,0.0010241807101479539,0.0
f_d1_ema_fast_slow,f_d1_,0.4822717234178542,0.01772827658214582,1.0,0.0008671790038323052,0.0
f_hr_mom_24,f_hr_,0.5371018987639924,0.03710189876399239,1.0,0.0008426951903598157,0.0
