bin,n,predicted,observed,gap,mapping
0.0-0.1,7,0.08793235018194379,0.2857142857142857,0.1977819355323419,raw
0.1-0.2,180,0.16833964692255868,0.09444444444444444,-0.07389520247811424,raw
0.2-0.3,1470,0.2629806444412422,0.16938775510204082,-0.09359288933920137,raw
0.3-0.4,4581,0.355882021943986,0.22375027286618643,-0.13213174907779957,raw
0.4-0.5,6658,0.45039021975165605,0.25398017422649444,-0.19641004552516161,raw
0.5-0.6,4824,0.5419193370464038,0.296849087893864,-0.24507024915253983,raw
0.6-0.7,1058,0.6337679244290827,0.32608695652173914,-0.30768096790734356,raw
0.7-0.8,86,0.7338078376909958,0.27906976744186046,-0.4547380702491353,raw
0.8-0.9,8,0.8152040113147994,0.375,-0.44020401131479936,raw
0.1-0.2,408,0.1854999702028333,0.12990196078431374,-0.055598009418519556,Platt
0.2-0.3,13914,0.2619499170690346,0.2400459968377174,-0.02190392023131718,Platt
0.3-0.4,4526,0.31973013312734805,0.3068935041979673,-0.012836628929380756,Platt
0.4-0.5,24,0.41795007550032554,0.25,-0.16795007550032554,Platt
0.0-0.1,19,0.010764001212099578,0.2631578947368421,0.2523938935247425,isotonic
0.1-0.2,916,0.15150731058434608,0.14847161572052403,-0.003035694863822047,isotonic
0.2-0.3,12169,0.2629259741886697,0.23831046100747802,-0.02461551318119168,isotonic
0.3-0.4,5768,0.31783189134440337,0.302877947295423,-0.014953944048980372,isotonic
