tag,panel,symbols,horizon,band,families,model,regime,class_weight,params,n_train,n_test,ratio,cv_top,top,all_rows,lift,p_null,thin,n_thin,thin_t,thin_all,ll,ll_prior
anchor-16sep-band0.002,crypto-4h-slice,LINK LTC MATIC,12,0.002,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",6664,1323,1.0319517946530783,-0.0008720070259482405,0.008348737579556143,0.0006635221313142556,0.007685215448241887,0.014,0.014065023051770242,56,1.4499788532402655,0.004090771315107611,0.7803095596154548,0.7798750818302682
anchor-16sep-band0.01,crypto-4h-slice,LINK LTC MATIC,12,0.01,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",6664,1323,1.0258724138419086,0.0015623080633421662,0.010668060051609323,0.0006635221313142556,0.010004537920295067,0.003,0.013283546714144577,55,1.3425729979380094,0.004090771315107611,0.9868529536957183,0.9859364325236323
anchor-16sep-exact-time,crypto-4h-slice,LINK LTC MATIC,12,0.002,hr+st+wc,RF,expanding,none,"{""n_estimators"": 150, ""max_depth"": 4, ""min_samples_leaf"": 200}",591,137,1.0149047610214779,0.014208285646543655,0.030149963013668797,0.030149963013668797,0.0,1.0,0.025119798447224572,25,1.5608834124037767,0.025119798447224576,0.7909200028697652,0.7891460138864025
d01m1,equity-1d,DCI KIM,6,0.0005,btc+hr+st+ta+w1,LogReg.enet,kfold,none,"{""C"": 0.2777027964374282, ""l1_ratio"": 0.91}",2043,309,1.0217346602937278,0.009407208513640991,0.006467748094753797,0.003635427742554131,0.0028323203521996663,0.231,0.007699566520388341,27,1.3352268341442264,0.0032002984111221804,0.7766907201455246,0.7742602169969107
d01m2,equity-1d,DCI KIM,6,0.0005,btc+hr+st+ta+w1,LightGBM,monte-carlo,balanced,"{""learning_rate"": 0.0474745472216999, ""num_leaves"": 31, ""n_estimators"": 351, ""min_child_samples"": 100, ""subsample"": 0.94, ""subsample_freq"": 1, ""colsample_bytree"": 0.79, ""reg_lambda"": 0.0}",2043,309,2.115514932822921,0.02945112644908085,-0.001393467825732284,0.003635427742554131,-0.005028895568286415,0.909,0.001089898472789812,27,0.13754979751043178,0.0032002984111221804,1.0082087110660851,0.7742602169969107
d01m3,equity-1d,DCI KIM,6,0.0005,btc+hr+st+ta+w1,GBM.classic,rolling,none,"{""learning_rate"": 0.19286624986144646, ""n_estimators"": 116, ""max_depth"": 2, ""subsample"": 0.66}",2043,309,3.4023001975824188,-0.004204495908183588,-0.00018338384750607093,0.003635427742554131,-0.003818811590060202,0.8405,0.004963600286631844,25,0.5898763044050264,0.0032002984111221804,0.8764411294209621,0.7742602169969107
d01m4,equity-1d,DCI KIM,6,0.0005,btc+hr+st+ta+w1,LogReg.glm,leave-one-out,none,"{""C"": 0.2505648605019319}",2043,309,0.9969290131252406,0.016971820042779046,0.006327735297064552,0.003635427742554131,0.0026923075545104208,0.242,0.010270827518310398,25,1.6779413868314972,0.0032002984111221804,0.7827558529548975,0.7742602169969107
d01m5,equity-1d,DCI KIM,6,0.0005,btc+hr+st+ta+w1,GBM.classic,leave-one-out,none,"{""learning_rate"": 0.03974255852841063, ""n_estimators"": 89, ""max_depth"": 4, ""subsample"": 0.93}",2043,309,1.30307970048425,0.01411452009435743,0.00012019180725779269,0.003635427742554131,-0.0035152359352963384,0.834,0.0032914243901825753,22,0.47159599838013916,0.0032002984111221804,0.8053510779826192,0.7742602169969107
d02m1,equity-1h,AAPL GOOGL JPM MSFT XLK XOM,12,0.0015,4h+d1+hr+mst+rg+ta+wc,LogReg.glm,bootstrap,none,"{""C"": 0.001092188507148203}",13497,4004,1.00350914593279,0.0033246721940929534,0.0019266067095669586,0.0002946101750050227,0.0016319965345619359,0.0015,0.0015733686621023906,153,1.0860123644222752,6.54579414403997e-05,0.9239333714000526,0.9153833541210902
d02m2,equity-1h,AAPL GOOGL JPM MSFT XLK XOM,12,0.0015,4h+d1+hr+mst+rg+ta+wc,HistGBM,kfold,balanced,"{""learning_rate"": 0.020434240470473788, ""max_leaf_nodes"": 63, ""max_iter"": 183, ""l2_regularization"": 10.0, ""min_samples_leaf"": 20}",13497,4004,1.348550261865603,0.015384759761228148,0.0018424148169708335,0.0002946101750050227,0.0015478046419658109,0.004,-0.0004582672674289873,138,-0.28882181038550647,6.54579414403997e-05,1.0331699672854904,0.9153833541210902
