symbol,vol_m,atr,spread,candles,g_liq,g_atr,g_sp,g_hist,passed,reason,stop,pos
BTC,875.0,3.33,0.0,179,True,True,True,True,True,,4.99,150.3
ETH,279.0,4.72,0.0006,179,True,True,True,True,True,,7.09,105.78
SOL,131.0,5.63,0.0143,179,True,True,True,True,True,,8.44,88.86
ZEC,93.0,11.18,0.0021,179,True,True,True,True,True,,16.77,44.72
XRP,81.0,5.08,0.0088,179,True,True,True,True,True,,7.62,98.43
BNB,56.0,3.5,0.0017,179,True,True,True,True,True,,5.25,142.86
AVAX,49.0,6.9,0.0168,179,True,True,True,True,True,,10.35,72.46
TAO,38.0,9.74,0.0438,179,True,True,True,True,True,,14.62,51.3
NEAR,36.0,10.15,0.0461,179,True,True,True,True,True,,15.23,49.24
USDC,902.0,0.11,0.001,179,True,False,True,True,False,atr_band,0.16,225.0
NIGHT,236.0,9.29,0.0322,101,True,True,True,False,False,history,13.93,53.84
RE,184.0,,0.0549,2,True,False,False,False,False,"atr_band,spread,history",,
USD1,148.0,0.07,0.001,179,True,False,True,True,False,atr_band,0.11,225.0
WLD,83.0,14.27,0.0165,179,True,False,True,True,False,atr_band,21.41,35.03
TRX,42.0,1.63,0.031,179,True,False,True,True,False,atr_band,2.44,225.0
XPL,31.0,12.49,0.1011,179,True,False,False,True,False,"atr_band,spread",18.74,40.02
XLM,30.0,9.19,0.0468,179,False,True,True,True,False,liquidity,13.79,54.39
HEI,24.0,23.33,0.1821,179,False,False,False,True,False,"liquidity,atr_band,spread",35.0,21.43
DOGE,19.0,4.79,0.012,179,False,True,True,True,False,liquidity,7.18,104.46
SUI,19.0,6.55,0.014,179,False,True,True,True,False,liquidity,9.82,76.37
MEGA,17.0,14.15,0.0184,51,False,False,True,False,False,"liquidity,atr_band,history",21.23,35.33
SYN,16.0,14.23,0.215,179,False,False,False,True,False,"liquidity,atr_band,spread",21.35,35.13
ENA,16.0,9.94,0.1142,179,False,True,False,True,False,"liquidity,spread",14.91,50.3
XAUT,15.0,2.32,0.0002,86,False,False,True,False,False,"liquidity,atr_band,history",3.47,216.14
BICO,14.0,6.98,0.2699,179,False,True,False,True,False,"liquidity,spread",10.47,71.63
ASTER,14.0,6.17,0.1586,179,False,True,False,True,False,"liquidity,spread",9.26,80.99
ADA,14.0,6.71,0.0616,179,False,True,False,True,False,"liquidity,spread",10.06,74.55
EUR,13.0,0.46,0.0087,179,False,False,True,True,False,"liquidity,atr_band",0.7,225.0
