Symbol,ST_buy,ST_agree,Buy,Sell,Close,RSI,Chop,AMAT,Ichimoku_9,Ichimoku_26,EMA_gt_Kalman,Low_gt_Kalman,Doji,Dragonfly,Gravestone,MACD,MACD_Signal,MACD_Buy,MACD_Sell,MACD_below_zero
BTC/USDT,False,1,False,True,64020.01,40.94,53.91,False,65821.475,70990.455,False,False,False,False,False,-2001.744,-2464.9232,False,False,True
ETH/USDT,False,1,False,True,1728.19,41.98,51.85,False,1764.1775,1964.71,False,False,False,False,False,-65.2516,-85.499,False,False,True
SOL/USDT,False,2,False,False,71.95,47.27,50.33,True,71.645,79.27,False,False,False,False,False,-1.7381,-2.7949,False,False,True
XRP/USDT,False,0,False,True,0.4761,41.67,49.54,False,0.4838,0.504,False,False,False,False,False,-0.0093,-0.0093,True,False,True
BNB/USDT,False,0,False,True,590.15,42.66,51.37,False,626.48,651.1,False,False,False,False,False,-13.3513,-12.7955,False,False,True
PEPE/USDT,False,0,False,True,0.0,35.27,53.47,False,0.0,0.0,False,False,False,False,False,-0.0,-0.0,False,False,True
DOGE/USDT,False,0,False,True,0.0825,32.58,57.25,False,0.0881,0.0981,False,False,True,False,False,-0.0037,-0.0039,False,False,True
SUI/USDT,False,0,False,True,0.7198,36.92,54.02,False,0.7855,1.042,False,False,False,False,False,-0.0523,-0.0555,False,False,True
WIF/USDT,False,1,False,True,0.1629,44.01,51.53,False,0.1677,0.2099,False,False,False,False,False,-0.0053,-0.0067,False,False,True
AVAX/USDT,False,0,False,True,6.241,32.93,50.23,False,6.8812,8.0855,False,False,False,False,False,-0.5962,-0.6172,False,False,True
ENA/USDT,False,1,False,False,0.0909,50.22,54.21,True,0.0914,0.105,False,False,False,False,False,-0.0019,-0.0033,False,False,True
LINK/USDT,False,1,False,True,7.874,40.32,55.93,False,8.1687,8.933,False,False,False,False,False,-0.2545,-0.2987,False,False,True
ADA/USDT,False,0,False,True,0.1585,31.07,51.45,False,0.1836,0.2187,False,False,False,False,False,-0.0159,-0.0172,False,False,True
SHIB/USDT,False,1,False,True,0.0,32.62,55.1,False,0.0,0.0,False,False,True,False,False,-0.0,-0.0,False,False,True
TRX/USDT,False,2,False,False,0.3341,54.78,42.91,True,0.3322,0.3442,False,False,False,False,False,-0.0039,-0.0061,False,False,True
ARB/USDT,False,1,False,True,0.0832,35.63,59.42,False,0.0882,0.1117,False,False,False,False,False,-0.0052,-0.0063,False,False,True
WLD/USDT,True,3,True,False,0.6193,62.94,47.09,True,0.5524,0.4748,True,True,False,False,False,0.0698,0.0688,False,False,False
DOT/USDT,False,0,False,True,0.937,32.65,58.6,False,1.024,1.161,False,False,True,False,False,-0.053,-0.0589,False,False,True
LTC/USDT,False,1,False,False,44.56,40.57,55.4,True,45.6625,50.565,False,False,True,False,False,-1.5213,-1.9753,False,False,True
