symbol,quote_volume_24h_usdt,atr_pct,spread_pct,candle_count,pass,fail_reason,liquidity,atr_band,spread,history
BTC/USDT,1497772532.0,3.017,0.0,179,True,,True,True,True,True
ETH/USDT,610675989.0,3.772,0.0004,179,True,,True,True,True,True
ZEC/USDT,221883753.0,8.084,0.0009,179,True,,True,True,True,True
SOL/USDT,207137820.0,5.429,0.0097,179,True,,True,True,True,True
XRP/USDT,186747367.0,5.438,0.0071,179,True,,True,True,True,True
BNB/USDT,139585288.0,3.365,0.0013,179,True,,True,True,True,True
DOGE/USDT,80489473.0,5.505,0.0111,179,True,,True,True,True,True
SUI/USDT,64294990.0,6.184,0.0123,179,True,,True,True,True,True
UNI/USDT,57563998.0,8.445,0.0148,179,True,,True,True,True,True
WLD/USDT,56643108.0,6.984,0.0221,179,True,,True,True,True,True
NEAR/USDT,50657629.0,7.035,0.0433,179,True,,True,True,True,True
ADA/USDT,48687989.0,6.106,0.0455,179,True,,True,True,True,True
PUMP/USDT,36696666.0,11.847,0.0231,179,True,,True,True,True,True
FORM/USDT,35326498.0,9.979,0.0323,179,True,,True,True,True,True
AVAX/USDT,33194694.0,4.052,0.0125,179,True,,True,True,True,True
SOPH/USDT,75283385.0,8.623,0.3384,179,False,spread,True,True,False,True
MARSCOIN/USDT,54885343.0,,0.076,4,False,"atr_band,spread,history",True,False,False,False
RLUSD/USDT,52842555.0,0.051,0.01,179,False,atr_band,True,False,True,True
ZKC/USDT,49013336.0,15.086,0.2043,179,False,"atr_band,spread",True,False,False,True
TRX/USDT,34182987.0,1.659,0.0295,179,False,atr_band,True,False,True,True
ARB/USDT,32754369.0,10.841,0.0603,179,False,spread,True,True,False,True
ENA/USDT,31479927.0,11.567,0.0627,179,False,spread,True,True,False,True
DOT/USDT,30329760.0,5.517,0.0804,179,False,spread,True,True,False,True
LINK/USDT,28757101.0,5.508,0.008,179,False,liquidity,False,True,True,True
TAO/USDT,27925227.0,6.926,0.0389,179,False,liquidity,False,True,True,True
