ts_utc,harness,kept,why,p_edge_floor_pct,p_take_profit_pct,p_atr_floor_pct,p_threshold,oos_after_fee_expectancy_pct,oos_win_rate,oos_n_trades,oos_vs_buy_hold_pct
2026-09-06T18:55:54+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-06T19:24:23+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-06T21:51:53+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T00:11:11+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T00:33:50+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T00:58:06+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T02:19:27+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T02:33:21+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T02:56:33+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T03:38:20+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T03:48:38+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T04:11:02+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-07T04:30:26+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-08T08:46:39+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-08T09:09:49+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-08T09:37:02+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
2026-09-08T09:54:43+00:00,harness-v1,False,no demonstrated OOS edge after fees (matches standing NO-GO),1.5,10.0,2.5,2,-0.4,0.41,37,1.2
