symbol,n_bars,last_close,med_dollar_vol,pass
MU,31,1011.75,35419105018.5,True
SPY,31,772.67,33036122519.879997,True
NVDA,31,225.01,25374847952.7,True
QQQ,31,729.87,24184100892.6,True
SNDK,31,1786.85,22817089447.2,True
AAPL,31,305.59,14465454077.599998,True
AMD,31,506.0,13595962446.0,True
MSFT,31,480.35,12764098148.7,True
TSLA,31,339.3,12330274415.76,True
INTC,31,103.49,11120659986.0,True
SPCX,31,146.23,9857994504.42,True
AMZN,31,261.31,9421650058.24,True
META,31,568.97,9421063844.5,True
GOOGL,31,344.0,9311775657.8,True
SOXL,31,151.53,8919390768.96,True
AVGO,31,392.43,7102944761.22,True
GOOG,31,341.45,6141105225.76,True
SKHY,27,171.38,5718452182.44,True
IWM,31,304.06,5570601390.179999,True
TSM,31,430.97,5018119864.48,True
SOXX,31,559.12,4905201998.84,True
PLTR,31,172.55,4833280824.12,True
SMH,31,594.07,4626672416.28,True
MRVL,31,234.33,4609400542.320001,True
ORCL,31,146.65,4468351258.559999,True
TQQQ,31,76.4,4424921685.03,True
NBIS,31,268.85,4354105887.63,True
AMAT,31,535.31,4303229584.5,True
STX,31,994.79,4248755945.98,True
WDC,31,536.01,4242515829.63,True
DRAM,31,60.39,4041778576.92,True
VOO,31,710.27,3739132854.6,True
EWY,31,185.1,3427713870.0,True
LITE,31,968.9,3394976929.5,True
LQD,31,105.7,3133596362.1200004,True
BE,31,232.16,3122925751.86,True
IVV,31,776.29,3030811643.56,True
LRCX,31,343.84,3001521936.29,True
SOXS,31,38.36,2940999995.92,True
LLY,31,1183.16,2919372335.88,True
V,31,358.84,2652707557.2,True
GLD,31,405.49,2645721610.74,True
ASML,31,1883.12,2642516559.0,True
NFLX,31,76.02,2635833487.17,True
CSCO,31,112.9,2519613760.1,True
DELL,31,479.81,2519369211.96,True
GEV,31,1079.0,2510192319.48,True
CAT,31,881.65,2475299481.3,True
JPM,31,360.96,2416595138.7200003,True
APP,31,311.98,2390608938.78,True
KLAC,31,205.76,2370550995.96,True
WMT,31,114.33,2298143498.77,True
HYG,31,79.61,2239859562.6600003,True
CRM,31,190.97,2202742859.8,True
NOW,31,117.7,2189096267.04,True
SQQQ,31,36.42,2112811987.5000002,True
XOM,31,161.46,2097931596.8,True
TLT,31,81.35,2090565797.04,True
PANW,31,375.76,2084533125.22,True
TXN,31,282.91,2072609890.5600002,True
IBM,31,228.85,2020717132.2,True
HOOD,31,96.25,2003214485.28,True
CRWV,31,106.0,1959246602.1200001,True
UNH,31,395.62,1931846442.6399999,True
QCOM,31,162.18,1925177936.0,True
SGOV,31,100.56,1858680044.3000002,True
COST,31,953.5,1845944936.0,True
GS,31,1051.31,1817185782.06,True
JNJ,31,262.37,1793559347.3999999,True
GLW,31,173.21,1780367623.28,True
XLF,31,57.58,1779925706.46,True
BAC,31,63.89,1776615972.3,True
DIA,31,534.19,1727086917.6,True
IREN,31,44.9,1674530720.25,True
MA,31,562.26,1615953736.76,True
XLE,31,62.58,1583162004.22,True
COHR,31,351.22,1554742311.66,True
CRWD,31,213.9,1535421086.16,True
RSP,31,220.79,1532613906.88,True
XLV,31,167.05,1507765052.4,True
SNXX,31,19.06,1465687818.0,True
ARM,31,271.43,1432996753.2,True
MSTR,31,97.68,1422033886.44,True
XLK,31,190.32,1407525539.55,True
C,31,138.51,1404049595.9399998,True
CVX,31,202.7,1401839329.8,True
GDX,31,91.89,1390004995.74,True
RKLB,31,82.08,1386966023.1,True
ANET,31,201.8,1381835268.29,True
BITO,31,8.69,1377670225.866,True
EEM,31,67.32,1372543499.6200001,True
T,31,24.68,1351045038.0,True
ALAB,31,320.17,1328995143.3500001,True
AAL,31,14.43,1328119572.48,True
GE,31,369.43,1319808793.83,True
MUU,31,35.01,1318706717.83,True
SOFI,31,18.31,1311700367.74,True
ADI,31,390.28,1291896227.25,True
ABBV,31,250.33,1279420154.0,True
HD,31,337.88,1275952468.92,True
ISRG,31,390.33,1262167097.37,True
CRDO,31,282.82,1244907395.55,True
KO,31,86.98,1238663507.48,True
SNOW,31,330.11,1230956675.34,True
IBIT,31,36.42,1225878162.04,True
WFC,31,87.54,1218086980.46,True
XBI,31,159.53,1198880293.5,True
IGV,31,101.99,1195413531.0,True
MCD,31,265.53,1194317640.27,True
VRT,31,292.43,1182088860.61,True
UBER,31,74.99,1161055115.08,True
TER,31,443.14,1135252431.8300002,True
PG,31,143.12,1132812029.12,True
INTU,31,335.6,1130463269.2,True
DDOG,31,247.32,1130294776.6200001,True
ADBE,31,254.04,1112020173.12,True
BABA,31,124.71,1101657064.47,True
VTI,31,382.13,1095260626.5,True
VZ,31,48.06,1089573347.84,True
PEP,31,138.24,1089034188.88,True
XLI,31,186.32,1076582929.28,True
MPWR,31,1415.99,1070120116.32,True
NXPI,31,232.72,1060865035.21,True
AAOI,31,154.89,1060457938.0699999,True
SMCI,31,38.28,1049794093.62,True
SHOP,31,148.65,1034941037.9,True
TMO,31,585.51,1030340174.0800002,True
EFA,31,108.45,1023616404.85,True
BA,31,225.95,1021713554.26,True
COIN,31,150.55,1019936309.76,True
MRK,31,135.97,1016913735.3,True
