symbol,date,f_close_kalman,f_ema_fast_mid,f_ema_mid_slow,f_rsi,f_chop,f_macd_hist,f_macd_below_zero,f_bb_pos,f_vol_ratio,f_dist_resistance,f_ema_cross,f_golden_cross,f_death_cross,f_doji,f_dragonfly,f_gravestone,f_breakout,label
BTC/USDT,2017-09-07,0.059244944280289966,0.03080429618108644,0.002138230411080998,0.4533598975803143,0.4923189033805393,0.0034209765329097372,0,0.7685003023727541,0.7081718630801814,0.05277079723165394,1,0,0,0,0,0,0,0
BTC/USDT,2017-09-08,-0.02995038511612863,0.02823326374314797,0.0022519487908076443,0.37853087518393624,0.5291440481433747,-0.0010217804875523565,0,0.23930347520370282,1.5214438374919128,0.15326188474829536,1,0,0,0,0,0,0,0
BTC/USDT,2017-09-09,-0.03207953974064732,0.022982342897244493,0.0021433027609403677,0.3746232302498828,0.5376087045362129,-0.0044679902005297836,0,0.223058078427069,0.8739692901458594,0.15975824232590774,1,0,0,1,0,0,0,0
BTC/USDT,2017-09-10,-0.055702596358141065,0.015428802962982954,0.0019063317826653766,0.3535779967225821,0.5620289291417202,-0.008695586717553926,0,0.10831934102309546,0.8779058474464432,0.19582265027104104,1,0,0,0,0,0,0,0
BTC/USDT,2017-09-11,-0.03433727784849993,0.010289617399294263,0.0016922905046944162,0.37651417468735326,0.5594618308222126,-0.009518125074383089,1,0.22643442473128186,0.947365730470557,0.17363079694045563,1,0,0,0,0,0,0,0
BTC/USDT,2017-09-12,-0.0405023549104259,0.005012088990562276,0.0014729873892347935,0.3684472695387495,0.5621402324730818,-0.010504936618673723,1,0.2205876129203406,1.2003621157799376,0.18624451211897036,1,0,0,0,0,0,0,0
BTC/USDT,2017-09-13,-0.08298939840270893,-0.005743082772734588,0.0009871853859659734,0.3310597038716648,0.5731636303274485,-0.014694407559529277,1,0.08001844899337489,1.235901409073071,0.25211106576182146,0,0,1,0,0,0,0,0
BTC/USDT,2017-09-14,-0.23985654074879756,-0.04509782443780646,-0.000845268196056989,0.24041738964039452,0.503639039980118,-0.03517293901572043,1,-0.20335059627408275,2.097858501205107,0.5488112335451015,0,0,0,0,0,0,0,0
BTC/USDT,2017-09-15,-0.10799755272071745,-0.05110916274693728,-0.0016327885895817736,0.36668715264457236,0.4788937908555967,-0.029052622260290293,1,0.17511282306640266,2.235532720058255,0.3349162162162161,0,0,0,0,0,0,0,0
BTC/USDT,2017-09-16,-0.09537855896998133,-0.06064203449106717,-0.002469101692310268,0.3699870150120946,0.49795609882022823,-0.0262657671638702,1,0.2280095577456941,1.3981492544713832,0.32954413922125464,0,0,0,1,0,0,0,0
BTC/USDT,2017-09-17,-0.09042918990603858,-0.06945192436036796,-0.00331670071045762,0.367921124332794,0.4892193392436562,-0.023398835593664184,1,0.25587232500457957,0.7319632033680342,0.3349198241076327,0,0,0,1,0,0,0,1
BTC/USDT,2017-09-18,-0.007307078988036229,-0.060893853028795394,-0.0032926640345348223,0.4429363619173158,0.4827282581799001,-0.013120475770704054,1,0.4761272020874363,1.0804666199928536,0.22408370735140665,0,0,0,0,0,0,0,0
BTC/USDT,2017-09-19,-0.03455080910394955,-0.06378221803980737,-0.0038339284785045657,0.42277999032465347,0.4476657009038735,-0.00923742293413936,1,0.41468458176965534,0.9419004525683418,0.26320702601507906,0,0,0,0,0,0,0,0
BTC/USDT,2017-09-20,-0.03362043595230528,-0.06484915621376261,-0.0042784313163995715,0.42112196354462383,0.441630374228077,-0.005973931195299436,1,0.43608249984216263,0.7461629308360782,0.26645897435897425,0,0,0,1,0,0,0,0
BTC/USDT,2017-09-21,-0.09640354826544462,-0.07964758781386957,-0.005543853159893254,0.37533328216915934,0.451551785369482,-0.008718158083283379,1,0.24499706879532138,1.0135744590921705,0.3682004659292685,0,0,0,0,0,0,0,1
BTC/USDT,2017-09-22,-0.09128998793966975,-0.08832828684774935,-0.006477583728734013,0.3732056095049409,0.4892664539508843,-0.00964958359313893,1,0.26753433914012975,0.8528420266559257,0.3735730157096891,0,0,0,1,0,0,0,1
BTC/USDT,2017-09-23,-0.04067057911819969,-0.085095155852586,-0.006709383246464905,0.41942464452840844,0.4967351194115416,-0.005799866760557498,1,0.4551928282224951,0.7628556259701595,0.3066640211640211,0,0,0,0,0,0,0,1
BTC/USDT,2017-09-24,-0.06478891598453884,-0.09222460006727266,-0.007663441948388186,0.39878945660556064,0.47578538382621466,-0.005231209963190521,1,0.3678357774828399,0.6963431196100579,0.3494980901743705,0,0,0,0,0,0,0,1
BTC/USDT,2017-09-25,0.0016582556564177296,-0.08185591230712447,-0.007421016414048415,0.46086478341694026,0.48193900260780814,0.0003974653640846484,1,0.6612297495519237,0.7869265328988514,0.25975642415354194,0,0,0,0,0,0,0,1
BTC/USDT,2017-09-26,-0.007381927340219303,-0.07990300251768837,-0.007809632627583626,0.45343910224768097,0.5258382467323068,0.0034311650501391033,1,0.6578560748381047,0.5781360648560331,0.2722165698610377,0,0,0,0,0,0,0,1
BTC/USDT,2017-09-27,0.06474371520775629,-0.06333233014251703,-0.0070749169984959505,0.5207179787114533,0.5008033790386751,0.009803831246626258,1,0.9592706471377674,0.684679875566767,0.1779608871929405,0,0,0,0,0,0,0,0
BTC/USDT,2017-09-28,0.05402358427394423,-0.05485308495809491,-0.006978849793745318,0.5166393636485151,0.4406234183527106,0.013506168494263272,1,0.9433167992118521,0.9407115029435661,0.18318121930770143,0,0,0,1,0,0,0,0
BTC/USDT,2017-09-29,0.04867622937866584,-0.047259977526875205,-0.006853190434413706,0.5166812343618323,0.5978055068450645,0.01534881282715446,1,0.8712512070058247,1.6857197974790787,0.1831273699364504,0,0,0,1,0,0,0,1
BTC/USDT,2017-09-30,0.08952214475701395,-0.03359874954758112,-0.006143797636342702,0.560648464644565,0.5518294045114643,0.018149315763050795,1,0.987328331629061,0.7554684831400129,0.1280526937245774,0,0,0,0,0,0,0,0
BTC/USDT,2017-10-01,0.08031411359533136,-0.023785123924606428,-0.0057659292834734924,0.5606403804088835,0.5349430923299567,0.019569248590111936,0,0.9036866017404007,0.7613243529326824,0.12806042279512528,0,0,0,1,0,0,0,0
BTC/USDT,2017-10-02,0.07245627829870102,-0.015351668980302918,-0.005396203089736595,0.5609857896269801,0.4502400472856943,0.01957258794240406,0,0.8515086198196455,0.6948981000264888,0.1276689497716894,0,0,0,1,0,1,0,0
BTC/USDT,2017-10-03,0.04979193021301339,-0.010109096304653589,-0.005217454525597749,0.5399337865899083,0.4532320675341559,0.017898309767463073,0,0.7519129144262308,1.136755239925004,0.14598375870069596,0,0,0,0,0,0,0,1
BTC/USDT,2017-10-04,0.0226502622607991,-0.00824327154416899,-0.005220037930219994,0.5100703964216105,0.45376546601369105,0.01459295792119622,0,0.6423721241376011,0.9519629067143257,0.17359733307354705,0,0,0,0,0,0,0,1
BTC/USDT,2017-10-05,0.038771111628704925,-0.004125687943213319,-0.004885504707935523,0.533064206543392,0.44299675665719845,0.01251538739278753,0,0.6870392410393151,0.913621523895724,0.15067455963172358,0,0,0,0,0,0,0,1
BTC/USDT,2017-10-06,0.051568884232178945,0.0012098368523153883,-0.004475434664994636,0.5536671001539168,0.4430908728843733,0.011645243421828185,0,0.7349886403721846,0.6228450754044615,0.1305081254291599,1,1,0,0,0,0,0,1
BTC/USDT,2017-10-07,0.05806724848674785,0.006961860106710735,-0.004039107027906057,0.5681392994464856,0.4614131991057873,0.011229471122989682,0,0.7599437708760006,0.3747975561567898,0.031342979877910945,1,0,0,0,0,0,0,1
BTC/USDT,2017-10-08,0.09848540208327439,0.01649657279648585,-0.00322426070989395,0.6212818517272409,0.4438901627605829,0.012895264501714748,0,0.9908218699171402,0.674690008257604,-0.01689008620689653,1,0,0,0,0,0,1,1
BTC/USDT,2017-10-09,0.11908671918350616,0.02747272490260746,-0.002360003682133881,0.6524697346622571,0.4322938972673909,0.015038961807913092,0,1.051421737538376,0.855504559513639,-0.0470696372429208,1,0,0,0,0,0,0,1
BTC/USDT,2017-10-10,0.10574659060731405,0.03706774951077568,-0.0016285208267187636,0.6509415477892567,0.4328029224738617,0.015673560223004434,0,0.9898404676898178,1.351733876483153,-0.04629463147023041,1,0,0,1,0,0,0,1
BTC/USDT,2017-10-11,0.1025951559011653,0.04560564006155084,-0.0008678680041697759,0.6594151543390231,0.4378866978463714,0.01546442199856735,0,0.9381128536759915,0.9921972943292889,-0.05388442847868789,1,0,0,0,0,0,0,1
BTC/USDT,2017-10-12,0.2138500753468789,0.05953341066639915,0.0005262656526401585,0.7592431274114065,0.33815408523236967,0.019939782890692148,0,1.1951000047259634,1.634196371798381,-0.15992081031307548,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-13,0.23219517199335882,0.07690786179429396,0.0019339214161723187,0.7839000535303111,0.29548336668733394,0.024169610555958943,0,1.1070971870972264,2.24432131543595,-0.1926290004566387,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-14,0.24694309793259317,0.09406329305794145,0.0034040497063209064,0.8053692416808493,0.2916481553515492,0.027197428650121373,0,1.0451379314595024,1.137987381839415,-0.2228896471714602,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-15,0.1888712233256555,0.11075653047771028,0.004860591157819325,0.7472289883796381,0.3203288976065382,0.026910430154717082,0,0.8882909244940638,1.5201229345601013,-0.20111418759052113,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-16,0.1769755081217614,0.12226034354440099,0.006166710195562027,0.7532279091314494,0.32051649289738465,0.02479294491874912,0,0.8472285928511176,1.6371482799560078,-0.20805309703785754,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-17,0.12788602812269628,0.13309066530035352,0.007509759663979389,0.6946663185807502,0.318701273473984,0.02063101806045993,0,0.7410946461761383,1.468002473294135,-0.1846952636282395,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-18,0.09953895516144201,0.1392397047105434,0.00866657622976397,0.6666137359508599,0.3470992429823721,0.015258311956723683,0,0.676922343448713,2.2128599927097476,-0.1724273683523039,1,0,0,0,0,0,0,1
BTC/USDT,2017-10-19,0.11956595143852278,0.1414216774664871,0.0095535461384352,0.6941700740079743,0.3850826266705074,0.011966078707981855,0,0.7224989307189965,1.7728756963347678,-0.19744717535494988,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-20,0.16345833342970761,0.1445404342719924,0.010396487542846854,0.738366895034201,0.3791783644082535,0.011981002877583519,0,0.8344372036776825,1.7552762706823652,-0.24099460733010428,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-21,0.1481849395737217,0.15316811926989587,0.011689000866130032,0.7402215636028999,0.40193413454887433,0.011345300079067287,0,0.8093430248999559,1.4213993543174632,-0.24287921765585557,1,0,0,1,0,0,0,0
BTC/USDT,2017-10-22,0.11964031353551982,0.1609572812767136,0.0130434502764417,0.7129531824620915,0.4378880492561161,0.009111165587313633,0,0.7406710446138367,1.1292325382009032,-0.23334207279975533,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-23,0.10136312874259072,0.16576918986128594,0.014249198081919524,0.7003165298156147,0.4783728430648595,0.006206467250729791,0,0.6943013804641288,1.4585380478353507,-0.22892427733255805,1,0,0,0,0,0,0,0
BTC/USDT,2017-10-24,0.017750798668979977,0.1731486996413334,0.016091338070071536,0.5621643862011927,0.49974056735072947,-0.0014384802325538408,0,0.33842227173418654,1.9426183871144926,-0.16713437757324676,1,0,0,0,0,0,0,1
BTC/USDT,2017-10-25,0.05158917914598282,0.16554328834836612,0.016352247230965563,0.6030795134665247,0.5433663698699436,-0.004482382523904821,0,0.44144204703784284,1.6265103065867264,-0.19830614816546246,1,0,0,0,0,0,0,1
BTC/USDT,2017-10-26,0.07481602501487038,0.16257071510152238,0.01684611423945994,0.6328810634403831,0.589526316539693,-0.004755005226615775,0,0.6414198733859431,1.335950562983428,0.05275369043821227,1,0,0,0,0,0,0,1
