symbol,quote_volume_24h_usdt,atr_pct,spread_pct,candle_count,pass,fail_reason,liquidity,atr_band,spread,history
BTC/USDT,886267093.0,3.327,0.0,179,True,,True,True,True,True
ETH/USDT,281751259.0,4.724,0.0006,179,True,,True,True,True,True
SOL/USDT,132179625.0,5.629,0.0144,179,True,,True,True,True,True
ZEC/USDT,92630321.0,11.183,0.0021,179,True,,True,True,True,True
XRP/USDT,82189772.0,5.077,0.0088,179,True,,True,True,True,True
BNB/USDT,56036232.0,3.5,0.0017,179,True,,True,True,True,True
AVAX/USDT,48339641.0,6.897,0.0169,179,True,,True,True,True,True
TAO/USDT,38010941.0,9.743,0.0438,179,True,,True,True,True,True
NEAR/USDT,36614289.0,10.151,0.0463,179,True,,True,True,True,True
USDC/USDT,905288184.0,0.109,0.001,179,False,atr_band,True,False,True,True
NIGHT/USDT,237215485.0,9.288,0.0323,101,False,history,True,True,True,False
RE/USDT,179597871.0,,0.0114,2,False,"atr_band,history",True,False,True,False
USD1/USDT,147789974.0,0.072,0.002,179,False,atr_band,True,False,True,True
WLD/USDT,82915527.0,14.272,0.0162,179,False,atr_band,True,False,True,True
TRX/USDT,40323832.0,1.625,0.0309,179,False,atr_band,True,False,True,True
XPL/USDT,30535933.0,12.495,0.1006,179,False,"atr_band,spread",True,False,False,True
XLM/USDT,29199101.0,9.191,0.0464,179,False,liquidity,False,True,True,True
HEI/USDT,24144677.0,23.333,0.0923,179,False,"liquidity,atr_band,spread",False,False,False,True
DOGE/USDT,19614043.0,4.788,0.012,179,False,liquidity,False,True,True,True
SUI/USDT,18765702.0,6.548,0.014,179,False,liquidity,False,True,True,True
SYN/USDT,17376181.0,14.234,0.1375,179,False,"liquidity,atr_band,spread",False,False,False,True
MEGA/USDT,16894828.0,14.151,0.018,51,False,"liquidity,atr_band,history",False,False,True,False
ENA/USDT,16253956.0,9.943,0.1149,179,False,"liquidity,spread",False,True,False,True
XAUT/USDT,15030884.0,2.315,0.0002,86,False,"liquidity,atr_band,history",False,False,True,False
ASTER/USDT,14251275.0,6.174,0.1581,179,False,"liquidity,spread",False,True,False,True
