Symbol,Buy,Sell,Close,RSI,Chop,AMAT,Ichimoku_9,Ichimoku_26,EMA_gt_Kalman,Low_gt_Kalman,Doji,Dragonfly,Gravestone,MACD,MACD_Signal,MACD_Buy,MACD_Sell,MACD_below_zero
USDC/USDT,False,False,1.0009,57.78,17.34,True,1.008,1.0109,True,False,False,False,False,0.0,-0.0,True,False,False
BTC/USDT,False,True,62958.01,34.91,53.05,False,66314.515,70990.455,False,False,False,False,False,-2437.6307,-2930.6374,False,False,True
ETH/USDT,False,True,1711.11,38.62,51.15,False,1775.16,1964.71,False,False,False,False,False,-83.5294,-106.6688,False,False,True
WLD/USDT,True,False,0.6431,66.55,51.27,True,0.5374,0.4748,True,True,False,False,False,0.0772,0.0632,False,False,False
USD1/USDT,True,False,1.0009,63.39,61.65,True,1.0001,1.0,True,True,True,False,False,0.0002,0.0001,False,False,False
SOL/USDT,False,False,69.71,42.2,50.44,True,71.39,79.27,False,False,False,False,False,-2.7849,-3.8536,False,False,True
XRP/USDT,False,True,1.1465,40.39,48.66,False,1.2007,1.2999,False,False,False,False,False,-0.0381,-0.0484,False,False,True
ZEC/USDT,False,True,455.84,46.69,43.04,False,470.8175,470.06,False,False,False,False,False,-14.9889,-18.8134,False,False,True
BNB/USDT,False,True,578.48,37.6,54.72,False,627.025,651.1,False,False,False,False,False,-12.6189,-11.667,False,True,True
XLM/USDT,True,False,0.2345,64.25,47.1,True,0.2163,0.2189,True,True,False,False,False,0.0095,0.0077,False,False,False
NIGHT/USDT,False,True,0.0311,44.76,61.7,False,0.0338,0.0352,False,False,False,False,False,-0.0007,-0.0005,False,False,True
NEAR/USDT,False,False,2.237,52.85,57.49,False,2.348,2.166,True,False,False,False,False,0.0532,0.0653,False,False,False
FDUSD/USDT,False,False,0.9984,48.61,48.65,True,0.9983,0.998,False,False,False,False,False,-0.0,-0.0001,False,False,True
RLUSD/USDT,False,False,1.0009,54.25,66.52,True,1.001,1.0011,False,True,True,False,False,-0.0,-0.0,True,False,True
UNI/USDT,False,False,3.209,60.98,32.59,True,3.035,3.243,False,True,True,False,False,-0.0332,-0.1429,False,False,True
ASTER/USDT,False,False,0.638,46.35,39.45,True,0.6985,0.6955,False,False,False,False,False,-0.0042,-0.0083,False,False,True
U/USDT,False,False,1.0007,53.0,66.91,True,1.0009,1.0009,False,False,False,False,False,-0.0,0.0,False,False,True
XPL/USDT,True,False,0.0979,56.58,41.1,True,0.0917,0.0917,True,True,False,False,False,0.0023,-0.0015,False,False,False
