t,open,high,low,close,volume,macd,sig,hist,cu,cd,ema12,ema26
2026-03-17,10.48,10.55,10.18,10.2,2960054.15,0.167195253155775,0.0058791011836356,0.1613161519721394,False,False,9.736187525701608,9.568992272545833
2026-03-18,10.2,10.36,9.48,9.69,3287751.42,0.1511259446039368,0.03492846986769584,0.11619747473624095,False,False,9.729081752516745,9.577955807912808
2026-03-19,9.68,9.75,9.33,9.48,1361923.8,0.12006166075729574,0.05195510804561582,0.06810655271167992,False,False,9.690761482898784,9.570699822141489
2026-03-20,9.48,9.65,9.41,9.56,1369184.65,0.10073708895998656,0.06171150422848998,0.03902558473149659,False,False,9.670644331683587,9.5699072427236
2026-03-21,9.57,9.64,9.15,9.21,1043822.96,0.05652852599673963,0.06067490858213991,-0.004146382585400281,False,True,9.599775972963036,9.543247446966296
2026-03-22,9.21,9.36,8.87,9.03,1608037.56,0.006889013407338496,0.04991772954717963,-0.04302871613984113,False,False,9.512118130968723,9.505229117561385
2026-03-23,9.03,9.76,8.92,9.56,3004958.69,0.010198352393905097,0.041973854116524725,-0.03177550172261963,False,False,9.51948457235815,9.509286219964245
2026-03-24,9.56,9.65,9.35,9.62,1570023.23,0.017461243595416676,0.037071332012303115,-0.01961008841688644,False,False,9.534948484303051,9.517487240707634
2026-03-25,9.63,9.8,9.56,9.68,1815508.94,0.02773887922514362,0.03520484145487122,-0.007465962229727598,False,False,9.557264102102582,9.529525222877439
2026-03-26,9.69,9.69,8.99,9.11,2063705.57,-0.009995040201426164,0.02616486512361174,-0.036159905325037905,False,False,9.488454240240646,9.498449280442072
2026-03-27,9.1,9.15,8.66,8.79,2101191.0,-0.06497181422279574,0.007937529254330245,-0.07290934347712599,False,False,9.380999741742086,9.445971555964881
2026-03-28,8.79,8.99,8.7,8.75,949852.2,-0.11049524897773999,-0.015749026392083802,-0.09474622258565618,False,False,9.28392285839715,9.39441810737489
2026-03-29,8.76,8.82,8.37,8.6,1116725.08,-0.1568683645381359,-0.04397289402129422,-0.11289547051684168,False,False,9.17870395710528,9.335572321643417
2026-03-30,8.6,9.08,8.56,8.81,1613301.92,-0.174660767161944,-0.07011046864942419,-0.10455029851251982,False,False,9.121980271396776,9.29664103855872
2026-03-31,8.81,9.07,8.69,8.91,1636937.52,-0.1786330396773277,-0.09181498285500489,-0.0868180568223228,False,False,9.089367921951117,9.268000961628445
2026-04-01,8.91,9.48,8.87,9.13,2896821.47,-0.16215965729277215,-0.10588391774255836,-0.056275739550213796,False,False,9.095619010881714,9.257778668174486
2026-04-02,9.13,9.19,8.62,8.75,2611985.21,-0.17771857813344383,-0.12025084982073546,-0.05746772831270837,False,False,9.042446855361451,9.220165433494895
2026-04-03,8.75,9.15,8.73,8.91,1539700.91,-0.17511980012390183,-0.13122463988136873,-0.04389516024253309,False,False,9.022070416075074,9.197190216198976
2026-04-04,8.91,9.11,8.83,8.99,719054.7,-0.16470628686715294,-0.13792096927852557,-0.026785317588627372,False,False,9.017136505909678,9.18184279277683
2026-04-05,8.99,9.09,8.74,9.06,857876.01,-0.14908651110340543,-0.14015407764350155,-0.008932433459903882,False,False,9.023730889615882,9.172817400719287
2026-04-06,9.07,9.66,8.81,8.91,3843829.97,-0.14711561543547447,-0.14154638520189614,-0.005569230233578332,False,False,9.006233829674978,9.153349445110452
2026-04-07,8.9,9.62,8.46,9.43,6882469.21,-0.10241345369637678,-0.13371979890079227,0.0313063452044155,True,False,9.071428625109597,9.173842078805974
2026-04-08,9.43,9.56,9.04,9.05,3286293.67,-0.0965366779327379,-0.12628317470718142,0.02974649677444352,False,False,9.068131913554275,9.164668591487013
2026-04-09,9.05,9.7,8.92,9.37,2920718.2,-0.0653051678280896,-0.11408757333136306,0.048782405503273465,False,False,9.114573157622848,9.179878325450938
2026-04-10,9.37,9.56,9.25,9.39,1997802.09,-0.038496375947490336,-0.09896933385458852,0.06047295790709818,False,False,9.156946517988564,9.195442893936054
2026-04-11,9.39,9.61,9.19,9.38,1639251.72,-0.017851352383516428,-0.08274573756037411,0.06489438517685768,False,False,9.191262438298015,9.209113790681531
2026-04-12,9.37,9.39,8.92,9.03,2241067.22,-0.029393270076887745,-0.07207524406367684,0.04268197398678909,False,False,9.166452832406012,9.1958461024829
