symbol,date,level,entry,outcome,ret,crossover,volume
BTC/USDT,2023-10-19,28580.0,28713.71,win,0.1000000000000001,True,True
SOL/USDT,2023-10-19,24.8,24.93,win,0.10000000000000009,True,True
TRX/USDT,2023-10-21,0.09109,0.0916,win,0.10000000000000002,True,True
NEAR/USDT,2023-10-23,1.07,1.101,win,0.10000000000000007,False,True
UNI/USDT,2023-10-23,4.279,4.378,loss,-0.07148241206030168,False,True
BNB/USDT,2023-10-23,219.0,228.5,win,0.1000000000000001,True,True
EUR/USDT,2023-10-23,1.0629,1.0667,timeout,-0.0001874941408080791,False,True
ZEC/USDT,2023-10-23,26.3,27.26,win,0.10000000000000009,False,True
ETH/USDT,2023-10-23,1751.0,1765.46,win,0.10000000000000002,True,True
XRP/USDT,2023-10-24,0.5494,0.5588,win,0.10000000000000007,True,True
WLD/USDT,2023-10-25,1.688,1.805,win,0.10000000000000006,True,True
XRP/USDT,2023-10-31,0.5866,0.5996,win,0.10000000000000002,True,True
XLM/USDT,2023-10-31,0.1205,0.1212,win,0.10000000000000016,True,True
UNI/USDT,2023-11-01,4.5,4.795,win,0.10000000000000014,False,True
BTC/USDT,2023-11-01,35280.0,35421.43,timeout,0.009040290016523927,True,True
EUR/USDT,2023-11-03,1.0688,1.071,timeout,0.01811391223155937,False,True
BNB/USDT,2023-11-05,238.1,244.0,loss,-0.07297131147540986,True,True
ETH/USDT,2023-11-05,1865.54,1891.71,win,0.10000000000000014,True,True
ZEC/USDT,2023-11-06,29.0,29.85,loss,-0.07705192629815759,True,True
BTC/USDT,2023-11-09,35984.99,36701.09,timeout,0.031430946601313556,True,True
SOL/USDT,2023-11-10,46.9,56.67,win,0.10000000000000014,True,True
TRX/USDT,2023-11-10,0.10121,0.10622,loss,-0.09480794577292422,True,True
NEAR/USDT,2023-11-12,1.68,1.701,loss,-0.06172839506172851,True,True
WLD/USDT,2023-11-13,2.05,2.308,loss,-0.15619584055459276,True,True
EUR/USDT,2023-11-14,1.074,1.086,timeout,-0.0031307550644567857,True,True
UNI/USDT,2023-11-22,5.628,6.109,win,0.10000000000000014,True,True
WLD/USDT,2023-11-25,2.6,2.731,loss,-0.09556938850238013,True,True
BTC/USDT,2023-12-01,37980.0,38682.52,win,0.10000000000000002,True,True
ZEC/USDT,2023-12-02,30.43,31.4,win,0.10000000000000002,True,True
ETH/USDT,2023-12-02,2133.02,2164.74,win,0.10000000000000009,True,False
NEAR/USDT,2023-12-05,2.188,2.257,win,0.1000000000000001,True,True
XLM/USDT,2023-12-06,0.1237,0.1254,win,0.10000000000000017,True,True
